"yob","sex","state","race","educ","ideo","pid_1","pid_2r","pid_2d","pid_2i","biden_approval","trump_approval","screener_2","screener_4","policy_educ","policy_tax","policy_immi","policy_mari","statement_1","statement_2","statement_3","statement_4","statement_5","statement_6","statement_7","statement_8","statement_9","statement_10","statement_11","statement_12","statement_13","statement_14","statement_15","statement_16","statement_17","statement_18","statement_19","statement_20","statement_21","statement_22","statement_23","statement_24","statement_25","statement_timer_First.Click","statement_timer_Last.Click","statement_timer_Page.Submit","statement_timer_Click.Count"
53,1,10,"1",5,1,3,NA,NA,2,2,4,3,2,1,1,2,2,NA,NA,91,NA,NA,100,100,100,83,100,NA,77,100,NA,76,82,NA,100,NA,NA,NA,85,55,86,46,9.766,75.927,78.045,17
29,2,29,"2",2,4,3,NA,NA,3,3,3,3,3,2,2,4,1,NA,NA,NA,NA,54,41,NA,63,48,NA,38,54,NA,56,63,41,NA,NA,42,NA,47,54,70,56,57,5.388,52.139,61.5,26
9,1,2,"1",2,7,3,NA,NA,3,1,1,1,1,4,1,4,1,100,100,NA,NA,NA,NA,NA,NA,100,100,100,NA,100,100,100,NA,100,NA,100,NA,100,100,100,100,100,1.278,64.694,65.675,50
10,1,5,"1",2,2,1,1,NA,NA,1,1,3,2,1,2,2,2,NA,56,64,NA,63,NA,NA,NA,77,NA,63,68,64,66,59,59,NA,64,NA,70,60,66,54,NA,NA,0.885,61.69,62.652,79
31,1,34,"1",2,4,3,NA,NA,3,4,1,3,2,1,3,2,1,20,10,27,19,NA,22,14,17,17,NA,21,NA,NA,NA,24,28,24,NA,18,NA,12,31,NA,NA,NA,3.388,121.102,123.438,48
30,2,10,"1,2,6",3,3,4,NA,NA,3,3,4,3,2,1,1,2,2,100,NA,100,NA,100,NA,82,100,100,NA,100,75,50,NA,0,NA,NA,0,14,81,72,NA,NA,0,NA,7.081,139.934,140.871,19
49,2,29,"1,6",4,2,2,NA,1,NA,1,4,3,1,1,3,2,3,NA,NA,100,100,100,100,96,100,NA,NA,100,NA,99,NA,66,NA,NA,NA,100,NA,92,70,95,65,21,19.145,173.317,175.582,17
29,1,11,"2",2,2,2,NA,1,NA,1,2,3,2,1,1,1,1,100,91,NA,NA,93,NA,100,NA,75,NA,100,NA,100,98,NA,96,92,NA,91,91,91,100,92,NA,NA,2.377,59.039,62.779,33
39,1,33,"1",5,4,3,NA,NA,3,4,1,3,2,2,3,3,1,NA,84,NA,85,83,93,NA,87,NA,83,NA,59,89,89,18,NA,47,NA,15,NA,25,NA,NA,86,14,12.201,72.901,73.93,30
56,2,15,"1",4,4,3,NA,NA,3,4,2,3,2,2,1,4,1,100,100,100,100,NA,100,0,100,NA,NA,100,NA,100,NA,18,53,87,0,NA,55,NA,NA,NA,12,NA,45.398,168.202,169.803,33
46,2,44,"1",4,7,3,NA,NA,1,4,1,3,2,1,3,4,2,100,100,0,NA,NA,75,100,100,NA,100,NA,0,NA,NA,0,100,100,NA,0,44,NA,NA,60,NA,71,9.548,80.2,81.987,16
42,2,10,"1",3,5,3,NA,NA,1,4,1,3,2,2,2,4,1,0,84,NA,NA,59,NA,NA,94,NA,8,12,80,88,NA,88,21,NA,93,NA,89,59,6,93,NA,NA,14.943,127.983,128.856,29
20,1,5,"1",3,6,1,1,NA,NA,4,1,3,2,1,2,1,2,68,57,63,NA,NA,57,76,59,NA,NA,NA,NA,NA,69,74,53,60,NA,64,NA,81,69,75,69,NA,15.213,28.744,72.29,27
35,1,39,"1",2,5,3,NA,NA,1,4,1,3,2,2,4,4,1,28,NA,NA,47,63,NA,19,44,10,77,NA,17,79,NA,NA,NA,NA,NA,NA,66,70,16,4,18,31,11.979,69.227,70.393,31
39,1,36,"1",5,6,1,1,NA,NA,4,1,3,2,1,3,2,2,92,98,NA,97,86,NA,NA,NA,NA,NA,NA,52,100,NA,NA,65,50,50,90,91,62,86,NA,51,98,8.608,81.832,83.634,44
54,1,24,"1",6,5,3,NA,NA,3,2,4,3,1,2,3,4,3,100,NA,100,NA,NA,77,25,100,NA,100,100,100,100,NA,63,100,NA,44,44,67,100,NA,NA,NA,NA,15.234,118.344,119.535,29
37,1,44,"1",5,4,3,NA,NA,3,1,4,3,1,4,4,4,4,NA,14,18,NA,NA,NA,17,12,NA,19,46,30,NA,18,NA,22,30,NA,NA,16,16,NA,23,12,31,1.065,60.462,61.501,34
56,1,45,"1",2,6,1,2,NA,NA,4,2,3,2,3,4,3,1,NA,100,95,NA,NA,70,90,95,NA,80,NA,30,100,91,30,NA,5,10,NA,10,NA,NA,15,50,NA,39.109,246.468,251.265,27
16,2,45,"1,3",4,1,3,NA,NA,2,4,4,3,2,1,1,1,1,95,73,NA,100,NA,100,1,100,NA,63,NA,100,53,NA,NA,NA,NA,26,0,NA,45,5,1,100,NA,10.824,84.395,85.52,21
